Movie,Year Won,Female Word Count,Male Word Count,Percent Female Word Count,Total Word Count
The Lost Weekend,1945,6217,22561,21.6,28778.0
All About Eve,1950,53367,31829,62.64,85196.0
Lawrence of Arabia,1962,0,94723,0.0,94723.0
The French Connection,1971,66,18028,0.36,18094.0
The Godfather,1972,2210,15335,12.6,17545.0
The Sting,1973,1715,36958,4.43,38673.0
The Godfather Part Ii,1974,4170,16769,19.91,20939.0
One Flew Over the Cuckoo's Nest,1975,672,11549,5.5,12221.0
Rocky,1976,2084,11885,14.92,13969.0
Annie Hall,1977,10581,11215,48.55,21796.0
The Deer Hunter,1978,2433,34438,6.6,36871.0
Kramer vs. Kramer,1979,2553,24654,9.38,27207.0
Chariots of Fire,1981,1974,23261,7.82,25235.0
Terms of Endearment,1983,14923,5482,73.13,20405.0
Amadeus,1984,4695,13368,25.99,18063.0
Out of Africa,1985,11142,13244,45.69,24386.0
Driving Miss Daisy,1989,19660,29356,40.11,49016.0
Dances With Wolves,1990,117,13768,0.84,13885.0
Schindler's List,1993,949,13887,6.4,14836.0
Forrest Gump,1994,1303,5974,17.91,7277.0
Braveheart,1995,1541,11268,12.03,12809.0
Titanic,1997,8984,24763,26.62,33747.0
American Beauty,1999,1021,1926,34.65,2947.0
Gladiator,2000,1515,8391,15.29,9906.0
A Beautiful Mind,2001,5841,11113,34.45,16954.0
Million Dollar Baby,2004,6335,5433,53.83,11768.0
The Departed,2006,1165,15611,6.94,16776.0
No Country for Old Men,2007,852,7220,10.56,8072.0
The King's Speech,2010,1020,6491,13.58,7511.0
The Artist,2011,0,349,0.0,349.0
Argo,2012,252,6396,3.79,6648.0
12 Years a Slave,2013,2040,22490,8.32,24530.0
Birdman,2014,4279,9220,31.7,13499.0
Spotlight,2015,3274,9127,26.4,12401.0
Moonlight,2016,1173,6665,14.97,7838.0
Green Book,2018,872,5968,12.75,6840.0
Coda,2021,5058,5860,46.33,10918.0
Everything Everywhere All at Once,2022,13098,2717,82.82,15815.0
Oppenheimer,2023,2224,19980,10.02,22204.0
Anora,2024,4785,7234,39.81,12019.0
